id,city,age,date,protectionorder,why1,why2,killer1,killer2,killingway1,killingway2,killingway3,statusofkiller,year
2419, Denizli  ,, 05/08/2019 ,   Yok ,Tespit Edilemeyen,,Tespit Edilemeyen,,Tespit Edilemeyen,,, Tespit Edilemeyen,2019
2420, Denizli  ,, 05/08/2019 ,   Yok ,Tartisma,,Oglu,,Kesici Alet,,, Intihar ,2019
2421, Denizli  , Resit , 05/08/2019 ,   Yok ,Tespit Edilemeyen,,Sevgilisi,,Darp,,, Tutuklu ,2019
2422, Diyarbakır,, 05/09/2019 ,   Yok ,Tespit Edilemeyen,,Kocasi,,Atesli Silah,,, Tutuklu ,2019
2423, Diyarbakir ,, 05/09/2019 ,   Yok ,Tartisma,,Eski Kocasi,,Atesli Silah,,, Araniyor ,2019
2424, Diyarbakir , Resit , 05/11/2019 ,   Yok ,Aldatilma Suphesi,,Kocasi,,Atesli Silah,,, Tutuklu ,2019
2425, Diyarbakir ,Resit, 05/11/2019 ,   Var ,Namus,,Ailesi,,Atesli Silah,,,,2019
2426, Diyarbakir , Resit Degil , 06/01/2019 ,   Yok ,Tespit Edilemeyen,,Tespit Edilemeyen,,Tespit Edilemeyen,,,Sorusturma Suruyor,2019
2427, Diyarbakir , Resit , 06/02/2019 ,   Yok ,Tespit Edilemeyen,,Kocasi,,Tespit Edilemeyen,,, Araniyor ,2019
2428, Diyarbakir ,, 06/02/2019 ,   Yok ,Tespit Edilemeyen,,Oglu,,Atesli Silah,,, Tutuklu ,2019
2429, Duzce ,, 06/03/2019 ,   Yok ,Para,,Oglu,,Atesli Silah,,, Araniyor ,2019
2430, Duzce , Resit , 06/03/2019 ,   Yok ,Tespit Edilemeyen,,Tespit Edilemeyen,,Tespit Edilemeyen,,, Sorusturma Suruyor ,2019
2431, Edirne ,, 06/06/2019 ,   Yok ,Para,,Babasi,,Atesli Silah,,, Tutuklu ,2019
2432, Elazig , Resit , 06/07/2019 ,   Yok ,Tespit Edilemeyen,,Akrabasi,,Atesli Silah,,, Tutuklu ,2019
2433, Elazig ,23, 06/08/2019 ,   Yok ,Kiskanclik,,Kocasi,,Kesici Alet,,,,2019
2434, Elazig ,, 06/08/2019 ,   Yok ,Tartisma,,Damadi,,Atesli Silah,,, Tutuklu ,2019
2435, Erzincan , Resit Degil , 06/09/2019 ,   Yok ,Kaza,,Akrabasi,,Atesli Silah,,, Tutuklu ,2019
2436, Erzurum , Resit , 06/10/2019 ,   Yok ,Tespit Edilemeyen,,Tespit Edilemeyen,,Tespit Edilemeyen,,, Sorusturma Suruyor ,2019
2437, Erzurum , Resit Degil , 06/10/2019 ,   Yok ,Tespit Edilemeyen,,Tespit Edilemeyen,,Tespit Edilemeye,,, Tespit Edilemeyen,2019
2438, Eskisehir , Resit , 06/11/2019 ,   Yok ,Tespit Edilemeyen,,Oglu,,Kesici Alet,,, Tutuklu ,2019
2439, Eskisehir ,, 06/11/2019 ,   Yok ,Tecavuzu Direnme,,Tanimadigi Birisi,,Darp,Bogulma,, Tutuklu ,2019
2440,Mugla,, 07/01/2019 ,   Yok ,Tespit Edilemeyen,,Kocasi,,Atesli Silah,,, Intihar ,2019
2441, Mugla , Resit , 07/01/2019 ,   Yok ,Tartisma,,Sevgilisi,,Bogulma,,, Tutuklu ,2019
